TIME OF FLIP,STARTED,LANDED
22/04/18 21:56:21,h,h
22/04/18 21:56:34,h,t
22/04/18 21:56:37,h,h
22/04/18 21:56:39,h,h
22/04/18 21:56:42,h,t
22/04/18 21:56:44,h,t
22/04/18 21:56:47,h,h
22/04/18 21:56:49,h,h
22/04/18 21:56:53,h,h
22/04/18 21:56:55,h,h
22/04/18 21:56:58,h,h
22/04/18 21:57:01,h,h
22/04/18 21:57:05,h,t
22/04/18 21:57:08,h,h
22/04/18 21:57:11,h,t
22/04/18 21:57:14,h,h
22/04/18 21:57:27,h,h
22/04/18 21:57:31,h,h
22/04/18 21:57:34,h,h
22/04/18 21:57:41,h,h
22/04/18 21:57:48,h,t
22/04/18 21:57:52,h,h
22/04/18 21:57:55,h,h
22/04/18 21:57:58,h,h
22/04/18 21:58:01,h,t
22/04/18 21:58:05,h,t
22/04/18 21:58:10,h,t
22/04/18 21:58:14,h,t
22/04/18 21:58:19,h,h
22/04/18 21:58:24,h,h
22/04/18 21:58:27,h,h
22/04/18 21:58:30,h,h
22/04/18 21:58:36,h,t
22/04/18 21:58:39,h,h
22/04/18 21:58:42,h,h
22/04/18 21:58:46,h,t
22/04/18 21:58:52,h,t
22/04/18 21:59:19,h,t
22/04/18 21:59:23,h,t
22/04/18 21:59:26,h,h
22/04/18 21:59:29,h,t
22/04/18 21:59:33,h,h
22/04/18 21:59:36,h,h
22/04/18 21:59:38,h,h
22/04/18 21:59:42,h,h
22/04/18 21:59:46,h,t
22/04/18 21:59:49,h,h
22/04/18 21:59:51,h,h
22/04/18 21:59:54,h,t
22/04/18 21:59:57,h,h
22/04/18 22:00:00,h,t
22/04/18 22:00:05,h,t
22/04/18 22:01:10,h,t
22/04/18 22:01:12,h,t
22/04/18 22:01:16,h,h
22/04/18 22:01:19,h,h
22/04/18 22:01:22,h,h
22/04/18 22:01:24,h,t
22/04/18 22:01:27,h,h
22/04/18 22:01:30,h,h
22/04/18 22:01:33,h,t
22/04/18 22:01:37,h,t
22/04/18 22:01:39,h,h
22/04/18 22:01:42,h,t
22/04/18 22:01:45,h,t
22/04/18 22:01:47,h,t
22/04/18 22:01:50,h,t
22/04/18 22:01:53,h,h
22/04/18 22:01:56,h,t
22/04/18 22:02:00,h,h
22/04/18 22:02:03,h,h
22/04/18 22:02:06,h,t
22/04/18 22:02:09,h,h
22/04/18 22:02:12,h,h
22/04/18 22:02:14,h,h
22/04/18 22:02:17,h,h
22/04/18 22:02:19,h,h
22/04/18 22:02:22,h,h
22/04/18 22:02:28,h,h
22/04/18 22:02:31,h,h
22/04/18 22:02:33,h,t
22/04/18 22:02:37,h,t
22/04/18 22:02:42,h,t
22/04/18 22:02:46,h,h
22/04/18 22:02:48,h,h
22/04/18 22:02:51,h,h
22/04/18 22:02:54,h,t
22/04/18 22:02:56,h,t
22/04/18 22:02:59,h,h
22/04/18 22:03:05,h,h
22/04/18 22:03:08,h,t
22/04/18 22:03:11,h,t
22/04/18 22:03:15,h,h
22/04/18 22:03:17,h,t
22/04/18 22:03:23,h,t
22/04/18 22:03:29,h,t
22/04/18 22:03:32,h,h
22/04/18 22:03:35,h,t
22/04/18 22:03:38,h,h
22/04/18 22:03:40,h,t
22/04/18 22:03:43,h,h
22/04/18 22:03:46,h,t
22/04/18 22:03:49,h,t
22/04/18 22:03:54,h,h
22/04/18 22:03:59,h,h
22/04/18 22:04:02,h,t
22/04/18 22:04:05,h,t
22/04/18 22:04:08,h,t
22/04/18 22:04:12,h,t
22/04/18 22:04:15,h,t
22/04/18 22:04:17,h,h
22/04/18 22:04:21,h,h
22/04/18 22:04:23,h,t
22/04/18 22:04:26,h,t
22/04/18 22:04:29,h,h
22/04/18 22:04:36,h,t
22/04/18 22:04:39,h,t
22/04/18 22:04:42,h,h
22/04/18 22:04:45,h,t
22/04/18 22:04:49,h,h
22/04/18 22:04:51,h,h
22/04/18 22:04:54,h,t
22/04/18 22:04:58,h,h
22/04/18 22:05:01,h,t
22/04/18 22:05:04,h,t
22/04/18 22:05:08,h,h
22/04/18 22:05:12,h,t
22/04/18 22:05:16,h,h
22/04/18 22:05:21,h,t
22/04/18 22:05:24,h,h
22/04/18 22:05:27,h,t
22/04/18 22:05:32,h,h
22/04/18 22:05:35,h,t
22/04/18 22:05:37,h,t
22/04/18 22:05:41,h,h
22/04/18 22:05:43,h,h
22/04/18 22:05:46,h,t
22/04/18 22:05:53,h,h
22/04/18 22:05:56,h,t
22/04/18 22:05:58,h,t
22/04/18 22:06:02,h,h
22/04/18 22:06:09,h,h
22/04/18 22:06:11,h,h
22/04/18 22:06:13,h,t
22/04/18 22:06:17,h,h
22/04/18 22:06:23,h,t
22/04/18 22:06:25,h,t
22/04/18 22:06:29,h,t
22/04/18 22:06:32,h,h
22/04/18 22:06:36,h,t
22/04/18 22:06:39,h,t
22/04/18 22:06:42,h,h
22/04/18 22:06:45,h,h
22/04/18 22:06:47,h,h
22/04/18 22:06:51,h,t
22/04/18 22:06:54,h,t
22/04/18 22:07:03,h,t
22/04/18 22:07:09,h,t
22/04/18 22:07:13,h,t
22/04/18 22:07:16,h,h
22/04/18 22:07:19,h,t
22/04/18 22:07:22,h,t
22/04/18 22:07:25,h,h
22/04/18 22:07:28,h,h
22/04/18 22:07:31,h,t
22/04/18 22:07:38,h,t
22/04/18 22:07:41,h,t
22/04/18 22:07:44,h,h
22/04/18 22:07:49,h,t
22/04/18 22:07:51,h,h
22/04/18 22:07:54,h,t
22/04/18 22:07:56,h,h
22/04/18 22:08:02,h,h
22/04/18 22:08:06,h,t
22/04/18 22:08:08,h,h
22/04/18 22:08:11,h,h
22/04/18 22:08:13,h,t
22/04/18 22:08:17,h,t
22/04/18 22:08:21,h,t
22/04/18 22:08:24,h,t
22/04/18 22:08:27,h,h
22/04/18 22:08:30,h,h
22/04/18 22:08:33,h,h
22/04/18 22:08:39,h,h
22/04/18 22:08:42,h,t
22/04/18 22:08:46,h,h
22/04/18 22:08:49,h,h
22/04/18 22:08:52,h,t
22/04/18 22:08:54,h,h
22/04/18 22:08:59,h,t
22/04/18 22:09:02,h,t
22/04/18 22:09:06,h,h
22/04/18 22:09:08,h,h
22/04/18 22:09:11,h,h
22/04/18 22:09:15,h,t
22/04/18 22:09:18,h,t
22/04/18 22:09:20,h,h
22/04/18 22:09:23,h,t
22/04/18 22:09:27,h,t
22/04/18 22:09:33,h,h
22/04/18 22:09:35,h,t
22/04/18 22:09:39,h,h
22/04/18 22:09:42,h,t
22/04/18 22:09:47,h,h
22/04/18 22:09:49,h,t
22/04/18 22:09:52,h,t
22/04/18 22:09:55,h,h
22/04/18 22:09:57,h,t
22/04/18 22:10:00,h,t
22/04/18 22:10:03,h,t
22/04/18 22:10:06,h,h
22/04/18 22:10:09,h,h
22/04/18 22:10:13,h,h
22/04/18 22:10:17,h,h
22/04/18 22:10:20,h,t
22/04/18 22:10:23,h,t
22/04/18 22:10:27,h,t
22/04/18 22:10:31,h,h
22/04/18 22:10:33,h,h
22/04/18 22:10:36,h,t
22/04/18 22:10:43,h,h
22/04/18 22:10:47,h,t
22/04/18 22:10:50,h,t
22/04/18 22:10:53,h,h
22/04/18 22:10:59,h,t
22/04/18 22:11:01,h,t
22/04/18 22:11:05,h,h
22/04/18 22:11:09,h,h
22/04/18 22:11:12,h,h
22/04/18 22:11:14,h,h
22/04/18 22:11:17,h,t
22/04/18 22:11:22,h,t
22/04/18 22:11:25,h,h
22/04/18 22:11:28,h,h
22/04/18 22:11:32,h,h
22/04/18 22:11:34,h,t
22/04/18 22:11:39,h,h
22/04/18 22:11:42,h,h
22/04/18 22:11:45,h,t
22/04/18 22:11:48,h,h
22/04/18 22:11:52,h,t
22/04/18 22:11:56,h,h
22/04/18 22:11:59,h,t
22/04/18 22:12:03,h,t
22/04/18 22:12:05,h,h
22/04/18 22:12:08,h,t
22/04/18 22:12:14,h,h
22/04/18 22:12:16,h,h
22/04/18 22:12:19,h,t
22/04/18 22:12:25,h,h
22/04/18 22:12:29,h,t
22/04/18 22:12:33,h,h
22/04/18 22:12:35,h,h
22/04/18 22:12:40,h,h
22/04/18 22:12:42,h,h
22/04/18 22:12:45,h,h
22/04/18 22:12:59,h,h
22/04/18 22:13:02,h,h
22/04/18 22:13:04,h,t
22/04/18 22:13:07,h,h
22/04/18 22:13:10,h,h
22/04/18 22:13:13,h,h
22/04/18 22:13:15,h,t
22/04/18 22:13:19,h,h
22/04/18 22:13:21,h,t
22/04/18 22:13:24,h,h
22/04/18 22:13:28,h,t
22/04/18 22:13:34,h,h
22/04/18 22:13:36,h,h
22/04/18 22:13:40,h,t
22/04/18 22:13:47,h,t
22/04/18 22:13:50,h,t
22/04/18 22:13:55,h,h
22/04/18 22:14:00,h,t
22/04/18 22:14:03,h,t
22/04/18 22:14:05,h,h
22/04/18 22:14:08,h,t
22/04/18 22:14:16,h,t
22/04/18 22:14:20,h,t
22/04/18 22:14:23,h,h
22/04/18 22:14:26,h,t
22/04/18 22:14:28,h,h
22/04/18 22:14:31,h,h
22/04/18 22:14:34,h,t
22/04/18 22:14:38,h,t
22/04/18 22:14:40,h,h
22/04/18 22:14:44,h,h
22/04/18 22:14:48,h,h
22/04/18 22:14:50,h,h
22/04/18 22:14:53,h,t
22/04/18 22:14:56,h,h
22/04/18 22:15:02,h,t
22/04/18 22:15:06,h,t
22/04/18 22:15:08,h,h
22/04/18 22:15:12,h,h
22/04/18 22:15:14,h,t
22/04/18 22:15:18,h,h
22/04/18 22:15:20,h,t
22/04/18 22:15:24,h,t
22/04/18 22:15:29,h,h
22/04/18 22:15:32,h,h
22/04/18 22:15:35,h,h
22/04/18 22:15:37,h,t
22/04/18 22:15:40,h,h
22/04/18 22:15:43,h,t
22/04/18 22:15:47,h,t
22/04/18 22:15:51,h,h
22/04/18 22:15:54,h,t
22/04/18 22:15:57,h,t
22/04/18 22:16:02,h,h
22/04/18 22:16:05,h,t
22/04/18 22:16:07,h,h
22/04/18 22:16:10,h,h
22/04/18 22:16:14,h,h
22/04/18 22:16:16,h,t
22/04/18 22:16:19,h,t
22/04/18 22:16:22,h,t
22/04/18 22:16:28,h,t
22/04/18 22:16:32,h,h
22/04/18 22:16:36,h,h
